eq_y,eq_d,loss_y,loss_d,terms_added,dict_size,n_selected,S_y,S_d,S_union
(x5 + (x0*x1 - x2)*(-1.5968553))*(-3.1558194),(x1 - x17)*0.08782655*x9**2,10.7902565,1.0052221,1,51,27,"[np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(8), np.int64(11), np.int64(12), np.int64(14), np.int64(16), np.int64(18), np.int64(19), np.int64(22), np.int64(25), np.int64(26), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(37), np.int64(39), np.int64(41), np.int64(43), np.int64(46), np.int64(47), np.int64(50)]",[],"[np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(8), np.int64(11), np.int64(12), np.int64(14), np.int64(16), np.int64(18), np.int64(19), np.int64(22), np.int64(25), np.int64(26), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(37), np.int64(39), np.int64(41), np.int64(43), np.int64(46), np.int64(47), np.int64(50)]"
x0*x1*5.063039 + x2*(-4.97112) + x5*(-3.0770357),x6*(-0.15435481)*x49,8.644759,0.90072656,0,50,23,"[np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(15), np.int64(22), np.int64(25), np.int64(27), np.int64(31), np.int64(32), np.int64(33), np.int64(38), np.int64(40), np.int64(43), np.int64(46), np.int64(47), np.int64(49)]",[],"[np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(15), np.int64(22), np.int64(25), np.int64(27), np.int64(31), np.int64(32), np.int64(33), np.int64(38), np.int64(40), np.int64(43), np.int64(46), np.int64(47), np.int64(49)]"
x1*(x0 + x0 + x0) + (x2*1.6890395 + x5)*(-2.9714441),x30*(0.09094337925124*x10**2*x5**2),8.922428,1.0883939,2,52,26,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(10), np.int64(13), np.int64(17), np.int64(20), np.int64(21), np.int64(24), np.int64(26), np.int64(28), np.int64(29), np.int64(33), np.int64(35), np.int64(37), np.int64(40), np.int64(45), np.int64(46), np.int64(48), np.int64(49), np.int64(51)]",[np.int64(50)],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(10), np.int64(13), np.int64(17), np.int64(20), np.int64(21), np.int64(24), np.int64(26), np.int64(28), np.int64(29), np.int64(33), np.int64(35), np.int64(37), np.int64(40), np.int64(45), np.int64(46), np.int64(48), np.int64(49), np.int64(50), np.int64(51)]"
x2*(-4.402281),(0.18146588 - x29*x30)*(-0.17868127),32.181324,0.9133575,1,51,23,"[np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(8), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(17), np.int64(19), np.int64(24), np.int64(26), np.int64(27), np.int64(31), np.int64(34), np.int64(38), np.int64(39), np.int64(40), np.int64(41), np.int64(49), np.int64(50)]",[np.int64(50)],"[np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(8), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(17), np.int64(19), np.int64(24), np.int64(26), np.int64(27), np.int64(31), np.int64(34), np.int64(38), np.int64(39), np.int64(40), np.int64(41), np.int64(49), np.int64(50)]"
4.276823*(x0*x1 - x2 - x5),x19*x24*(-0.18019107),13.262534,0.9791357,0,50,30,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(11), np.int64(17), np.int64(18), np.int64(19), np.int64(22), np.int64(23), np.int64(24), np.int64(26), np.int64(27), np.int64(29), np.int64(32), np.int64(34), np.int64(35), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(45), np.int64(47), np.int64(48), np.int64(49)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(11), np.int64(17), np.int64(18), np.int64(19), np.int64(22), np.int64(23), np.int64(24), np.int64(26), np.int64(27), np.int64(29), np.int64(32), np.int64(34), np.int64(35), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(45), np.int64(47), np.int64(48), np.int64(49)]"
(x0*x1 - x2 - x5)*4.2842803,(-x36 + x48)*0.13992721,9.419344,0.9105323,0,50,28,"[np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(10), np.int64(12), np.int64(13), np.int64(14), np.int64(17), np.int64(18), np.int64(25), np.int64(26), np.int64(27), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(42), np.int64(44), np.int64(45), np.int64(47), np.int64(48)]",[],"[np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(10), np.int64(12), np.int64(13), np.int64(14), np.int64(17), np.int64(18), np.int64(25), np.int64(26), np.int64(27), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(42), np.int64(44), np.int64(45), np.int64(47), np.int64(48)]"
-x5 - (x5 + x5) + (x0*x1 - x2 + x4*x3*0.5956367)*4.9913044,x6*x4*0.157533,1.3302379,0.82860696,1,51,15,"[np.int64(0), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(12), np.int64(14), np.int64(17), np.int64(21), np.int64(25), np.int64(30), np.int64(35), np.int64(42), np.int64(49), np.int64(50)]",[],"[np.int64(0), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(12), np.int64(14), np.int64(17), np.int64(21), np.int64(25), np.int64(30), np.int64(35), np.int64(42), np.int64(49), np.int64(50)]"
(x0*x1 - x2 - x5)*4.442405,x17*0.13103607,11.385991,0.9406382,0,50,33,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(8), np.int64(10), np.int64(12), np.int64(14), np.int64(16), np.int64(19), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(42), np.int64(43), np.int64(45), np.int64(46), np.int64(48), np.int64(49)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(8), np.int64(10), np.int64(12), np.int64(14), np.int64(16), np.int64(19), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(42), np.int64(43), np.int64(45), np.int64(46), np.int64(48), np.int64(49)]"
(x0*x1 - x2 - x5)*4.415317,(x25 + (x11*(x11 - 2.0086207) - 2.152635)*x35*1.3759093 + x5**2)*0.075654134*x28,10.646009,0.9429612,1,51,30,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(8), np.int64(11), np.int64(13), np.int64(14), np.int64(15), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(25), np.int64(26), np.int64(29), np.int64(30), np.int64(31), np.int64(34), np.int64(35), np.int64(36), np.int64(40), np.int64(41), np.int64(44), np.int64(49), np.int64(50)]",[],"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(8), np.int64(11), np.int64(13), np.int64(14), np.int64(15), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(25), np.int64(26), np.int64(29), np.int64(30), np.int64(31), np.int64(34), np.int64(35), np.int64(36), np.int64(40), np.int64(41), np.int64(44), np.int64(49), np.int64(50)]"
(x0*x1 - x2)*4.9008145,x27*x8*0.15112516,17.505177,0.9932705,1,51,19,"[np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(8), np.int64(13), np.int64(14), np.int64(22), np.int64(24), np.int64(36), np.int64(37), np.int64(39), np.int64(40), np.int64(42), np.int64(43), np.int64(46), np.int64(47), np.int64(50)]",[],"[np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(8), np.int64(13), np.int64(14), np.int64(22), np.int64(24), np.int64(36), np.int64(37), np.int64(39), np.int64(40), np.int64(42), np.int64(43), np.int64(46), np.int64(47), np.int64(50)]"
x2*(-4.951257),x11*0.1705799*x33,29.680841,0.91193116,0,50,24,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(9), np.int64(11), np.int64(13), np.int64(14), np.int64(17), np.int64(21), np.int64(22), np.int64(24), np.int64(26), np.int64(29), np.int64(30), np.int64(31), np.int64(37), np.int64(38), np.int64(39), np.int64(44), np.int64(45), np.int64(46)]",[],"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(9), np.int64(11), np.int64(13), np.int64(14), np.int64(17), np.int64(21), np.int64(22), np.int64(24), np.int64(26), np.int64(29), np.int64(30), np.int64(31), np.int64(37), np.int64(38), np.int64(39), np.int64(44), np.int64(45), np.int64(46)]"
(x0*x1 - x2 - 0.6634665*x5)*4.9297757,x9*0.012197837*x7**4,11.168817,0.9204863,0,50,25,"[np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(10), np.int64(12), np.int64(13), np.int64(14), np.int64(18), np.int64(19), np.int64(20), np.int64(24), np.int64(25), np.int64(26), np.int64(29), np.int64(32), np.int64(36), np.int64(44), np.int64(45), np.int64(46), np.int64(47), np.int64(49)]",[],"[np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(10), np.int64(12), np.int64(13), np.int64(14), np.int64(18), np.int64(19), np.int64(20), np.int64(24), np.int64(25), np.int64(26), np.int64(29), np.int64(32), np.int64(36), np.int64(44), np.int64(45), np.int64(46), np.int64(47), np.int64(49)]"
-x5 + (x0*x1 - x2)*4.9651117,x29*0.15322547*(-x0 + x31),9.969296,0.9412486,0,50,28,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(8), np.int64(11), np.int64(12), np.int64(18), np.int64(19), np.int64(20), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(34), np.int64(35), np.int64(36), np.int64(40), np.int64(43), np.int64(44), np.int64(48), np.int64(49)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(8), np.int64(11), np.int64(12), np.int64(18), np.int64(19), np.int64(20), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(34), np.int64(35), np.int64(36), np.int64(40), np.int64(43), np.int64(44), np.int64(48), np.int64(49)]"
(x0*x1 - x2 - x5)*4.4560056,x20*(-0.14103805),9.069359,0.9292311,1,51,10,"[np.int64(2), np.int64(5), np.int64(7), np.int64(9), np.int64(21), np.int64(23), np.int64(27), np.int64(47), np.int64(49), np.int64(50)]",[],"[np.int64(2), np.int64(5), np.int64(7), np.int64(9), np.int64(21), np.int64(23), np.int64(27), np.int64(47), np.int64(49), np.int64(50)]"
x5*(x1 - 1*3.059531) - 4.7548237*(-x0*x1 + x2),x14*(-0.13241985),12.261571,0.94410205,0,50,24,"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(8), np.int64(10), np.int64(11), np.int64(12), np.int64(14), np.int64(15), np.int64(18), np.int64(21), np.int64(22), np.int64(23), np.int64(25), np.int64(26), np.int64(27), np.int64(29), np.int64(32), np.int64(35), np.int64(39), np.int64(41), np.int64(46), np.int64(48)]",[],"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(8), np.int64(10), np.int64(11), np.int64(12), np.int64(14), np.int64(15), np.int64(18), np.int64(21), np.int64(22), np.int64(23), np.int64(25), np.int64(26), np.int64(27), np.int64(29), np.int64(32), np.int64(35), np.int64(39), np.int64(41), np.int64(46), np.int64(48)]"
4.256583*(x0*x1 - x2 - x5) - 1*0.1407119,x8*x33**2*(-x22 + x34)*(-0.12269411),9.379972,0.8346043,1,51,27,"[np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(11), np.int64(12), np.int64(13), np.int64(16), np.int64(19), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(27), np.int64(29), np.int64(30), np.int64(31), np.int64(37), np.int64(39), np.int64(41), np.int64(42), np.int64(46), np.int64(47), np.int64(49)]",[],"[np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(11), np.int64(12), np.int64(13), np.int64(16), np.int64(19), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(27), np.int64(29), np.int64(30), np.int64(31), np.int64(37), np.int64(39), np.int64(41), np.int64(42), np.int64(46), np.int64(47), np.int64(49)]"
(x0*x1 - x2 - x5)*4.2243853,(x23 - x3 + x31*x6)*0.12889509,10.908319,0.8893523,0,50,27,"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(7), np.int64(12), np.int64(13), np.int64(15), np.int64(16), np.int64(17), np.int64(19), np.int64(21), np.int64(23), np.int64(24), np.int64(28), np.int64(29), np.int64(32), np.int64(34), np.int64(35), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(45)]",[],"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(7), np.int64(12), np.int64(13), np.int64(15), np.int64(16), np.int64(17), np.int64(19), np.int64(21), np.int64(23), np.int64(24), np.int64(28), np.int64(29), np.int64(32), np.int64(34), np.int64(35), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(45)]"
x5 - 4.7128963*(-x0*x1 + x2 + x5),x42*x39*(-0.14813061),8.725103,0.90345836,1,51,15,"[np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(8), np.int64(12), np.int64(16), np.int64(19), np.int64(20), np.int64(23), np.int64(31), np.int64(32), np.int64(40), np.int64(42), np.int64(50)]",[],"[np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(8), np.int64(12), np.int64(16), np.int64(19), np.int64(20), np.int64(23), np.int64(31), np.int64(32), np.int64(40), np.int64(42), np.int64(50)]"
(x0*x1 - x2 - (-0.61376977)*x3*x4 + x5*(-0.59221363))*4.9647293,x20*x36*(-0.15210395),1.2505769,0.94960743,0,50,27,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(11), np.int64(12), np.int64(13), np.int64(15), np.int64(16), np.int64(17), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(28), np.int64(30), np.int64(31), np.int64(33), np.int64(39), np.int64(41), np.int64(44), np.int64(46), np.int64(48), np.int64(49)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(11), np.int64(12), np.int64(13), np.int64(15), np.int64(16), np.int64(17), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(28), np.int64(30), np.int64(31), np.int64(33), np.int64(39), np.int64(41), np.int64(44), np.int64(46), np.int64(48), np.int64(49)]"
(x0*x1 - (x5 - (0.006396029 - x2)))*4.3791914,x24*x36*0.18311884*x44,8.917331,0.9506625,0,50,30,"[np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(8), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(29), np.int64(30), np.int64(31), np.int64(34), np.int64(36), np.int64(37), np.int64(38), np.int64(41), np.int64(42), np.int64(45), np.int64(46), np.int64(47)]",[],"[np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(8), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(29), np.int64(30), np.int64(31), np.int64(34), np.int64(36), np.int64(37), np.int64(38), np.int64(41), np.int64(42), np.int64(45), np.int64(46), np.int64(47)]"
(x5 - (x0*x1 - x2))*(-3.8446167),(x29 - x43)*(-0.106840394),9.986185,0.9592077,1,51,12,"[np.int64(2), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(16), np.int64(20), np.int64(22), np.int64(23), np.int64(30), np.int64(31), np.int64(50)]",[],"[np.int64(2), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(16), np.int64(20), np.int64(22), np.int64(23), np.int64(30), np.int64(31), np.int64(50)]"
2.4933503*(x3*x4 - x5 + 1.9172262*(x0*x1 - x2)),0.00230890773755688*x33**4*x39**4,1.9357446,0.98491454,2,52,4,"[np.int64(2), np.int64(5), np.int64(50), np.int64(51)]",[],"[np.int64(2), np.int64(5), np.int64(50), np.int64(51)]"
(x0*x1 - x2 - x5)*4.3527727,(x4 + x41)**2*(-0.07034348)*x17*x20,10.575821,0.9068085,1,51,20,"[np.int64(0), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(9), np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(29), np.int64(31), np.int64(32), np.int64(33), np.int64(36), np.int64(39), np.int64(42), np.int64(43), np.int64(44), np.int64(50)]",[],"[np.int64(0), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(9), np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(29), np.int64(31), np.int64(32), np.int64(33), np.int64(36), np.int64(39), np.int64(42), np.int64(43), np.int64(44), np.int64(50)]"
(x0*x1 - (x2 + x5))*4.394847,(x27 + x29)*(-x1 + x22 + x35*(x34 + 0.78585404)**2)*(-0.062178135),9.072664,0.9061808,1,51,12,"[np.int64(2), np.int64(3), np.int64(5), np.int64(11), np.int64(12), np.int64(16), np.int64(17), np.int64(23), np.int64(26), np.int64(34), np.int64(48), np.int64(50)]",[],"[np.int64(2), np.int64(3), np.int64(5), np.int64(11), np.int64(12), np.int64(16), np.int64(17), np.int64(23), np.int64(26), np.int64(34), np.int64(48), np.int64(50)]"
(x0*x1 - (x2 + x5))*4.219486,x36*x9*(-0.17851605),8.50329,0.8913258,0,50,35,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(12), np.int64(13), np.int64(14), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(25), np.int64(26), np.int64(27), np.int64(30), np.int64(31), np.int64(33), np.int64(34), np.int64(35), np.int64(37), np.int64(39), np.int64(40), np.int64(41), np.int64(43), np.int64(44), np.int64(47), np.int64(48)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(12), np.int64(13), np.int64(14), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(25), np.int64(26), np.int64(27), np.int64(30), np.int64(31), np.int64(33), np.int64(34), np.int64(35), np.int64(37), np.int64(39), np.int64(40), np.int64(41), np.int64(43), np.int64(44), np.int64(47), np.int64(48)]"
x5*(-3.6141279) + 5.0315804*(x0*x1 - x2),(-x14*(x30 - x49) + x20)*0.13278899,12.295038,0.8986084,0,50,25,"[np.int64(0), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(13), np.int64(14), np.int64(16), np.int64(20), np.int64(21), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(30), np.int64(32), np.int64(35), np.int64(36), np.int64(37), np.int64(39), np.int64(40), np.int64(45), np.int64(49)]",[],"[np.int64(0), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(13), np.int64(14), np.int64(16), np.int64(20), np.int64(21), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(30), np.int64(32), np.int64(35), np.int64(36), np.int64(37), np.int64(39), np.int64(40), np.int64(45), np.int64(49)]"
x1*x0*5.0519686 + x2*(-4.9136105),x15*0.112925835,13.28348,0.841923,0,50,32,"[np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(14), np.int64(15), np.int64(16), np.int64(18), np.int64(21), np.int64(22), np.int64(24), np.int64(30), np.int64(31), np.int64(34), np.int64(35), np.int64(38), np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(45), np.int64(47), np.int64(48), np.int64(49)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(14), np.int64(15), np.int64(16), np.int64(18), np.int64(21), np.int64(22), np.int64(24), np.int64(30), np.int64(31), np.int64(34), np.int64(35), np.int64(38), np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(45), np.int64(47), np.int64(48), np.int64(49)]"
(-x2 + x3*x4 - x5)*3.5746317,x13*(-x34 - 0.5143308)*0.15955763*x24**2,26.959782,0.93905914,1,51,25,"[np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(11), np.int64(13), np.int64(16), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(29), np.int64(31), np.int64(33), np.int64(34), np.int64(39), np.int64(42), np.int64(44), np.int64(45), np.int64(47), np.int64(49)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(11), np.int64(13), np.int64(16), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(29), np.int64(31), np.int64(33), np.int64(34), np.int64(39), np.int64(42), np.int64(44), np.int64(45), np.int64(47), np.int64(49)]"
(x0*x1 - x2 - x5)*4.4905343,x22*0.144019*(x0 + 0.57718945),10.820116,0.9193078,0,50,26,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(17), np.int64(18), np.int64(19), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(34), np.int64(35), np.int64(36), np.int64(40), np.int64(42), np.int64(44), np.int64(46), np.int64(47), np.int64(49)]",[],"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(17), np.int64(18), np.int64(19), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(34), np.int64(35), np.int64(36), np.int64(40), np.int64(42), np.int64(44), np.int64(46), np.int64(47), np.int64(49)]"
(x0*(-1.2067212)*x1 + x2 + x5)*(-4.1636715),(x31 + x7*(-x21**2 - x36 - x39 + 0.13818192) - x9**2)*0.10641038,10.148462,0.9088854,2,52,28,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(18), np.int64(19), np.int64(22), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(40), np.int64(41), np.int64(43), np.int64(45), np.int64(46), np.int64(49), np.int64(51)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(18), np.int64(19), np.int64(22), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(40), np.int64(41), np.int64(43), np.int64(45), np.int64(46), np.int64(49), np.int64(51)]"
6.3493416441*x0**2*x1 - log(x2**4) + 1.03759707979543,0.121175244*(x21 - x34*(-x29**2 + x40)),20.368992,0.8143011,2,52,28,"[np.int64(1), np.int64(2), np.int64(5), np.int64(7), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(15), np.int64(16), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(24), np.int64(27), np.int64(29), np.int64(30), np.int64(31), np.int64(34), np.int64(36), np.int64(38), np.int64(43), np.int64(45), np.int64(46), np.int64(47), np.int64(48)]",[],"[np.int64(1), np.int64(2), np.int64(5), np.int64(7), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(15), np.int64(16), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(24), np.int64(27), np.int64(29), np.int64(30), np.int64(31), np.int64(34), np.int64(36), np.int64(38), np.int64(43), np.int64(45), np.int64(46), np.int64(47), np.int64(48)]"
x1*5.0711403*x0**2 - x2**2 + 4.573218,(x21 + x22 - x35)*(x0 + x34)**2*(-0.03819656),33.749584,0.8594721,2,52,35,"[np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(12), np.int64(13), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(21), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(37), np.int64(38), np.int64(40), np.int64(41), np.int64(44), np.int64(46), np.int64(48), np.int64(50), np.int64(51)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(12), np.int64(13), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(21), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(37), np.int64(38), np.int64(40), np.int64(41), np.int64(44), np.int64(46), np.int64(48), np.int64(50), np.int64(51)]"
5.0271664*x0**2*x1 - log(x2**4) + 0.5681167,x33*0.1125364,17.389128,0.8633419,1,51,34,"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(16), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(26), np.int64(27), np.int64(28), np.int64(30), np.int64(31), np.int64(32), np.int64(33), np.int64(35), np.int64(37), np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(48), np.int64(49), np.int64(50)]",[],"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(16), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(26), np.int64(27), np.int64(28), np.int64(30), np.int64(31), np.int64(32), np.int64(33), np.int64(35), np.int64(37), np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(48), np.int64(49), np.int64(50)]"
